time,open,high,low,close,volume,fut_close,fut_oi,total_call_oi,total_put_oi,max_call_strike,max_put_strike,fut_oi_change,total_opt_oi,total_opt_oi_change,ret,logret,rv_30,atr14,ema5,ema15,mom30,put_call_ratio_oi,total_oi,total_oi_change,opt_skew_proxy,vol_60
08:46.4,18153.72153,18165.40107,18142.06332,18156.84204,1170,18149.73482,115587,387000,323000,16950,17050,30194,710000,-5900,5.87E-05,5.87E-05,0.004217361,30.55856443,18141.89225,18127.6763,-0.00418093,0.834625323,710000,-5900,-100,0.001386089
13:46.4,18160.00632,18164.43105,18146.16389,18159.56456,2770,18160.21894,114539,405600,324900,16300,18650,-1048,730500,20500,0.000149944,0.000149933,0.004030663,29.68060683,18147.78302,18131.66233,-0.001784983,0.801035503,730500,20500,-2350,0.001349677
18:46.4,18160.53094,18170.56232,18156.06849,18160.82875,1720,18167.85048,111168,399600,326400,16000,16650,-3371,726000,-4500,6.96E-05,6.96E-05,0.003998382,28.59583694,18152.13159,18135.30814,-0.002530678,0.816816817,726000,-4500,-650,0.001328678
23:46.4,18163.37355,18171.35892,18154.40548,18156.48513,2220,18166.53032,97644,398400,317600,16950,17200,-13524,716000,-10000,-0.000239175,-0.000239204,0.003996775,27.76423724,18153.58277,18137.95526,-0.002923034,0.797188755,716000,-10000,-250,0.001322269
28:46.4,18142.50648,18145.66867,18130.10333,18140.41645,3850,18140.36031,108264,394900,317300,19100,19400,10620,712200,-3800,-0.00088501,-0.000885402,0.003976046,27.66549171,18149.194,18138.26291,-0.002658318,0.803494556,712200,-3800,-300,0.001318095
33:46.4,18143.35494,18144.49048,18127.5188,18134.97059,2020,18133.92824,91542,403400,314500,17650,18050,-16722,717900,5700,-0.000300206,-0.000300251,0.003944544,26.90164808,18144.45286,18137.85137,-0.001993136,0.779623203,717900,5700,-400,0.001319091
38:46.4,18157.09461,18172.8682,18145.26898,18165.17632,3160,18169.61789,86383,408300,315800,16400,18000,-5159,724100,6200,0.001665607,0.001664221,0.00405221,27.68707377,18151.36068,18141.26699,0.000253801,0.773450894,724100,6200,-1600,0.001306371
43:46.4,18196.84245,18207.31049,18195.58994,18206.26159,2060,18220.32953,94453,397400,313400,16650,19650,8070,710800,-13300,0.00226176,0.002259206,0.004171228,28.71900913,18169.66098,18149.39131,0.001043251,0.788626069,710800,-13300,-3000,0.00132679
48:46.4,18223.22708,18226.73453,18201.39322,18206.40533,2110,18201.64411,95333,400400,321700,17600,17700,880,722100,11300,7.90E-06,7.90E-06,0.004075947,28.47774467,18181.9091,18156.51806,0.002523319,0.803446553,722100,11300,-100,0.001324821
53:46.4,18282.36195,18287.30649,18269.20813,18273.86512,2630,18275.79784,129284,389100,317500,16100,17250,33951,706600,-15500,0.003705278,0.00369843,0.004525282,32.22227467,18212.56111,18171.18645,0.007101975,0.815985608,706600,-15500,-1150,0.001381285
58:46.4,18261.51328,18269.51337,18240.41833,18247.84884,4470,18252.92275,72699,392400,320600,17100,17000,-56585,713000,6400,-0.001423688,-0.001424703,0.004623139,32.3097403,18224.32368,18180.76925,0.005393495,0.817023445,713000,6400,100,0.001391867
03:46.4,18285.60662,18291.71717,18265.94613,18279.66358,4250,18278.95461,99339,407000,317800,17050,18550,26640,724800,11800,0.001743479,0.001741961,0.004665559,33.13535388,18242.77032,18193.13104,0.007997239,0.780835381,724800,11800,-1500,0.001394319
08:46.4,18290.819,18291.37756,18277.68452,18290.05592,4570,18289.32769,112646,399300,322000,16650,19450,13307,721300,-3500,0.000568519,0.000568358,0.004257945,31.74661683,18258.53218,18205.24665,0.011572302,0.80641122,721300,-3500,-2800,0.001395568
13:46.4,18351.18122,18360.89304,18333.60188,18337.87987,4920,18340.26348,139710,400600,323700,16400,18650,27064,724300,3000,0.002614751,0.002611339,0.004436061,34.53879544,18284.98141,18221.8258,0.014203534,0.808037943,724300,3000,-2250,0.001432111
18:46.4,18329.12815,18352.02179,18314.92088,18320.67971,4720,18325.95264,87851,404300,331300,16750,19950,-51859,735600,11300,-0.000937958,-0.000938398,0.004385893,34.7218041,18296.88085,18234.18254,0.014615668,0.819441009,735600,11300,-3200,0.001438259
23:46.4,18306.2387,18308.07353,18273.0973,18297.04935,750,18299.63805,77681,395000,322400,16250,16300,-10170,717400,-18200,-0.001289819,-0.001290651,0.004490145,35.64041902,18296.93702,18242.04089,0.01341821,0.816202532,717400,-18200,-50,0.001449876
28:46.4,18289.97005,18297.43452,18276.42102,18291.86551,4760,18303.56626,114459,390900,316800,18600,17150,36778,707700,-9700,-0.000283316,-0.000283356,0.004336288,34.59563895,18295.24651,18248.26897,0.01058257,0.810437452,707700,-9700,1450,0.001447309
33:46.4,18231.97611,18234.99733,18219.76552,18232.60825,3410,18239.49619,103297,394900,325500,18650,16900,-11162,720400,12700,-0.003239542,-0.0032448,0.004612248,37.27452135,18274.36709,18246.31138,0.004821128,0.824259306,720400,12700,1750,0.001495783
38:46.4,18217.78562,18235.54397,18209.9804,18211.21139,4720,18216.947,95584,402600,318600,17800,17600,-7713,721200,800,-0.001173549,-0.001174238,0.00463408,36.43802473,18253.31519,18241.92388,0.004571298,0.791356185,721200,800,200,0.001420428
43:46.4,18197.23483,18202.03618,18194.26655,18198.84365,2380,18208.09405,108752,406800,321100,17050,17300,13168,727900,6700,-0.000679128,-0.000679359,0.004653989,35.04565453,18235.15801,18236.53885,0.004104677,0.789331367,727900,6700,-250,0.001407144
48:46.4,18201.52243,18221.71108,18184.307,18196.54723,4490,18202.3745,117236,395300,325300,18250,16400,8484,720600,-7300,-0.000126185,-0.000126193,0.004596004,35.2141141,18222.28775,18231.5399,0.005122766,0.822919302,720600,-7300,1850,0.001387736
53:46.4,18211.03765,18223.50949,18206.00429,18208.56409,1710,18209.78487,114740,391600,323600,16500,16750,-2496,715200,-5400,0.000660393,0.000660175,0.004604457,34.62469626,18217.7132,18228.66792,0.005632583,0.826353422,715200,-5400,-250,0.001381218
58:46.4,18262.54299,18287.74909,18257.92862,18277.82373,2790,18280.03634,106034,402000,319300,16350,19000,-8706,721300,6100,0.003803685,0.003796469,0.00503811,37.80757496,18237.75004,18234.8124,0.009574095,0.794278607,721300,6100,-2650,0.0014641
03:46.4,18288.78018,18312.52547,18283.95341,18301.03787,1080,18298.49713,126336,396400,321400,17750,16300,20302,717800,-3500,0.001270071,0.001269266,0.005063973,37.58572937,18258.84599,18243.09058,0.010189864,0.810797175,717800,-3500,1450,0.001435912
08:46.4,18273.14346,18281.78546,18243.92454,18261.26974,1450,18275.90548,103947,391300,318000,19250,16050,-22389,709300,-8500,-0.002172999,-0.002175363,0.005070699,38.9805581,18259.6539,18245.36298,0.010148822,0.812675696,709300,-8500,3200,0.001464471
13:46.4,18248.71724,18264.50873,18247.54691,18256.28801,3110,18265.03674,100862,395300,315300,18500,19300,-3085,710600,1300,-0.000272803,-0.00027284,0.005082608,37.40779085,18258.53194,18246.72861,0.009564603,0.797622059,710600,1300,-800,0.001464685
18:46.4,18262.37017,18280.12705,18249.73863,18269.77918,4030,18259.40424,114277,399200,324000,19400,19950,13415,723200,12600,0.000738988,0.000738715,0.004881527,36.90640709,18262.28102,18249.60993,0.007520405,0.811623246,723200,12600,-550,0.001465607
23:46.4,18226.42234,18229.61534,18207.74505,18215.95797,3610,18226.88643,74789,406100,316200,19800,18550,-39488,722300,-900,-0.002945915,-0.002950262,0.005211894,38.7012448,18246.84,18245.40343,0.004367771,0.778625954,722300,-900,1250,0.001514648
28:46.4,18276.74536,18291.94656,18269.57953,18284.22765,1850,18279.84346,112315,392800,319400,19900,18700,37526,712200,-10100,0.003747795,0.00374079,0.005599156,41.36462634,18259.30255,18250.25646,0.008131492,0.813136456,712200,-10100,1200,0.001589268
33:46.4,18309.29156,18324.30971,18301.07044,18323.37078,3990,18329.89758,93935,406900,314600,17200,16150,-18380,721500,9300,0.002140814,0.002138526,0.005684037,41.27301447,18280.65863,18259.39575,0.009230959,0.773162939,721500,9300,1050,0.00160455
38:46.4,18296.59365,18301.0107,18279.3202,18286.32427,3320,18277.89048,73400,408400,324300,19350,18000,-20535,732700,11200,-0.002021817,-0.002023864,0.005836632,41.47141223,18282.54718,18262.76182,0.007131319,0.794074437,732700,11200,1350,0.001627107
43:46.4,18249.81971,18266.07262,18237.24049,18241.44758,4600,18242.75296,108503,408600,316200,18300,19550,35103,724800,-7900,-0.002454112,-0.002457128,0.006035724,42.01515287,18268.84731,18260.09754,0.004509085,0.773861968,724800,-7900,-1250,0.001632202
48:46.4,18287.10213,18316.81195,18266.5036,18296.40717,1690,18307.42673,90834,401700,320700,17800,16000,-17669,722400,-2400,0.003012896,0.003008367,0.006251448,44.39723939,18278.03393,18264.63624,0.007465431,0.798356983,722400,-2400,1800,0.001673754
53:46.4,18284.14334,18288.69801,18281.07189,18286.62537,4790,18297.94461,67710,396400,328900,16700,19150,-23124,725300,2900,-0.00053463,-0.000534773,0.006261464,42.32138494,18280.89774,18267.38488,0.0071677,0.829717457,725300,2900,-2450,0.001675611
58:46.4,18318.30667,18328.50254,18315.80765,18323.35773,4740,18328.70875,82577,397500,319500,17650,19900,14867,717000,-8300,0.002008701,0.002006686,0.006303969,42.28965548,18295.05107,18274.38149,0.010084734,0.803773585,717000,-8300,-2250,0.001686161
03:46.4,18274.73094,18282.89768,18265.8661,18277.84303,740,18285.81655,133793,405200,315300,17700,17200,51216,720500,3500,-0.002483971,-0.002487062,0.006498463,43.37551064,18289.31506,18274.81418,0.007878284,0.778134255,720500,3500,500,0.001714003
08:46.4,18258.49079,18268.4115,18248.46314,18262.05755,3910,18257.96555,88866,399300,316200,18600,17700,-44927,715500,-5000,-0.000863641,-0.000864014,0.006474766,42.37582372,18280.22922,18273.2196,0.005333349,0.7918858,715500,-5000,900,0.001716266
13:46.4,18258.81699,18269.52982,18241.0586,18246.70708,1950,18253.30327,106459,402700,325400,17150,16850,17593,728100,12600,-0.000840566,-0.000840919,0.006380049,41.38263755,18269.05517,18269.90554,0.002221516,0.808045692,728100,12600,300,0.001710755
18:46.4,18260.28635,18272.33819,18246.53156,18269.84851,610,18278.16661,78317,395500,314900,19300,17150,-28142,710400,-17700,0.001268252,0.001267449,0.006416005,40.27006539,18269.31962,18269.89841,0.003484663,0.796207332,710400,-17700,2150,0.001705916
23:46.4,18248.1455,18261.92639,18238.98228,18258.81693,1360,18276.54485,142018,400800,322400,18050,18000,63701,723200,12800,-0.000603814,-0.000603996,0.006067347,39.59836262,18265.81872,18268.51322,-0.000823482,0.804391218,723200,12800,50,0.001703809
28:46.4,18265.38491,18269.95256,18252.49651,18263.28995,4840,18263.528,101386,406000,314600,16000,18000,-40632,720600,-2600,0.000244979,0.000244949,0.006012435,38.01676869,18264.9758,18267.86031,0.000846188,0.774876847,720600,-2600,-2000,0.001703765
33:46.4,18236.33993,18248.7127,18226.86224,18235.9435,1580,18239.67988,86318,396800,313200,17450,19750,-15068,710000,-10600,-0.001497345,-0.001498467,0.005985611,37.90326454,18255.29837,18263.87071,-0.002391733,0.789314516,710000,-10600,-2300,0.001712007
38:46.4,18232.62795,18234.66229,18212.30919,18218.6699,4720,18222.74058,117701,398700,316200,16000,19800,31383,714900,4900,-0.000947229,-0.000947677,0.005992815,36.88405331,18243.08888,18258.22061,-0.003902997,0.793077502,714900,4900,-3800,0.001670013
43:46.4,18236.10057,18245.82299,18234.96833,18240.78957,3940,18248.26054,141003,395100,320000,16400,17150,23302,715100,200,0.001214121,0.001213385,0.005828365,36.18898454,18242.32244,18256.04173,-0.005294522,0.809921539,715100,200,-750,0.00167581
48:46.4,18250.36054,18261.78966,18246.886,18255.58067,3150,18264.05405,91834,402000,318000,18450,17650,-49169,720000,4900,0.00081088,0.000810552,0.00583683,35.10406395,18246.74185,18255.9841,-0.003553309,0.791044776,720000,4900,800,0.001666376
53:46.4,18270.03448,18287.72675,18257.87014,18269.46636,2710,18278.93496,85919,396300,310800,17150,17450,-5915,707100,-12900,0.000760628,0.000760339,0.005815424,34.8927797,18254.31669,18257.66938,-0.00150751,0.784254353,707100,-12900,-300,0.001667575
58:46.4,18239.42198,18256.623,18237.88713,18249.67576,1230,18258.73469,145903,408100,321400,19750,16850,59984,729500,22400,-0.001083261,-0.001083848,0.005844073,34.65609789,18252.76971,18256.67018,-0.002306476,0.787552071,729500,22400,2900,0.001647297
03:46.4,18197.68018,18205.67136,18189.19023,18194.64046,3820,18190.19487,97546,398800,329500,17200,16100,-48357,728300,-1200,-0.003015686,-0.003020243,0.005804377,36.50105734,18233.3933,18248.91646,-0.002082411,0.826228686,728300,-1200,1100,0.001667798
08:46.4,18232.77208,18238.83011,18221.76168,18237.91924,3590,18227.26905,95267,403300,326300,18950,17500,-2279,729600,1300,0.002378655,0.002375831,0.005928832,37.05024222,18234.90195,18247.54181,0.001466561,0.80907513,729600,1300,1450,0.001689538
13:46.4,18242.04527,18246.43015,18225.36872,18232.74489,4620,18233.57789,57112,410000,320100,17450,16550,-38155,730100,500,-0.000283714,-0.000283754,0.00591676,35.90818473,18234.18293,18245.6922,0.001862824,0.780731707,730100,500,900,0.00168978
18:46.4,18221.75809,18235.39444,18213.8019,18221.54351,1510,18224.99422,99326,403800,321000,16850,16350,42214,724800,-5300,-0.000614355,-0.000614544,0.005928534,34.88563879,18229.96979,18242.67361,0.001373683,0.794947994,724800,-5300,500,0.001684607
23:46.4,18264.38717,18268.90729,18258.38462,18262.79494,4740,18263.0875,72881,389500,327700,18550,16850,-26445,717200,-7600,0.002263882,0.002261323,0.006053403,35.77693459,18240.9115,18245.18878,0.002978315,0.841335045,717200,-7600,1700,0.001707395
28:46.4,18267.73921,18274.34242,18262.89202,18269.79715,1860,18270.93153,88798,396000,323700,19350,18950,15917,719700,2500,0.000383414,0.00038334,0.005651511,34.04625964,18250.54005,18248.26482,-0.000439143,0.817424242,719700,2500,400,0.001707329
33:46.4,18300.26545,18310.78511,18290.81483,18296.88423,2400,18298.69792,59713,399300,326300,18250,19100,-29085,725600,5900,0.001482616,0.001481518,0.005669008,34.54209527,18265.98811,18254.34225,-0.000226962,0.817180065,725600,5900,-850,0.001714757
38:46.4,18302.30198,18305.016,18300.75502,18301.09885,4700,18307.92941,124702,398700,314600,16550,18900,64989,713300,-12300,0.000230346,0.00023032,0.005523609,32.65564318,18277.69169,18260.18682,0.00218107,0.789064459,713300,-12300,-2350,0.001687965
43:46.4,18359.14775,18378.37181,18356.25902,18366.73051,1910,18364.70819,70667,404300,309900,17750,19750,-54035,714200,900,0.003586214,0.003579799,0.005868827,35.84259438,18307.3713,18273.50478,0.006049559,0.766510017,714200,900,-2000,0.001743304
48:46.4,18407.73536,18410.39277,18402.52501,18403.71544,4060,18406.96649,61184,391000,313000,18250,18400,-9483,704000,-10200,0.002013692,0.002011667,0.005952391,36.4011425,18339.48601,18289.78112,0.007331028,0.800511509,704000,-10200,-150,0.001727578
53:46.4,18401.04635,18411.69243,18364.37855,18386.265,1220,18389.55519,81835,409700,315800,17750,16400,20651,725500,21500,-0.000948202,-0.000948652,0.005694874,37.18062362,18355.07901,18301.8416,0.009349332,0.770807908,725500,21500,1350,0.001734448
58:46.4,18428.06707,18456.48203,18411.20832,18444.18779,3770,18450.94592,124946,390900,331100,16400,17300,43111,722000,-3500,0.003150329,0.003145377,0.005583196,39.54036641,18384.78194,18319.63488,0.008748531,0.847019698,722000,-3500,-900,0.001774521
03:46.4,18446.09971,18473.16049,18440.41862,18458.84093,2160,18468.96692,91100,398400,308600,18000,16650,-33846,707000,-15000,0.000794458,0.000794143,0.005485223,39.05475975,18409.46827,18337.03563,0.007393299,0.774598394,707000,-15000,1350,0.001772957
08:46.4,18484.19232,18490.31107,18462.66957,18472.24911,2170,18485.27633,93774,392700,321600,17950,16250,2674,714300,7300,0.000726382,0.000726119,0.00532422,38.513001,18430.39521,18353.93732,0.010167425,0.81894576,714300,7300,1700,0.001773665
13:46.4,18457.6425,18474.98082,18449.23978,18464.00769,1030,18463.5683,109568,395100,325000,17350,19450,15794,720100,5800,-0.000446151,-0.000446251,0.00508731,37.60071803,18441.59937,18367.69611,0.012200792,0.822576563,720100,5800,-2100,0.001776114
18:46.4,18476.83139,18493.91656,18469.93083,18472.1847,3080,18464.79596,96966,404100,331100,17250,17950,-12602,735200,15100,0.000442862,0.000442764,0.004850271,37.05130026,18451.79448,18380.75719,0.009607216,0.819351646,735200,15100,-700,0.001776028
23:46.4,18506.37424,18516.61478,18503.64715,18508.81234,4880,18511.17076,124759,405100,327900,19700,16000,27793,733000,-2200,0.001982854,0.001980891,0.004913124,37.57835619,18470.80043,18396.76408,0.012150245,0.80942977,733000,-2200,3700,0.001788044
28:46.4,18457.80133,18471.24999,18451.40369,18460.51669,1600,18455.41079,95207,397200,325300,18700,19200,-29552,722500,-10500,-0.002609333,-0.002612743,0.005108158,38.99480577,18467.37252,18404.73316,0.007485471,0.81898288,722500,-10500,-500,0.001821381
33:46.4,18425.25411,18430.59758,18404.41655,18423.0946,2810,18441.89303,95535,402300,312100,16700,19250,328,714400,-8100,-0.002027142,-0.0020292,0.005031741,40.21661538,18452.61321,18407.02834,0.007946866,0.775789212,714400,-8100,-2550,0.001844433
38:46.4,18369.16385,18379.78505,18353.83057,18361.96529,2100,18360.82935,145283,401400,317100,17650,18150,49748,718500,4100,-0.00331808,-0.003323597,0.005399412,42.29143026,18422.39724,18401.39546,0.005470783,0.789985052,718500,4100,-500,0.001891985
43:46.4,18361.9258,18369.73035,18352.53363,18355.58597,4010,18362.36194,101103,404200,312200,17200,17500,-44180,716400,-2100,-0.00034742,-0.000347481,0.005375236,40.49895119,18400.12682,18395.66927,0.005967043,0.772389906,716400,-2100,-300,0.001873258
48:46.4,18381.88345,18385.72233,18367.00322,18373.46278,3760,18382.28608,104611,393100,333200,19200,16900,3508,726300,9900,0.000973917,0.000973443,0.005358145,39.75876576,18391.2388,18392.89346,0.005671326,0.84762147,726300,9900,2300,0.001876282
53:46.4,18423.53862,18424.52837,18392.87067,18415.87607,680,18421.4411,95791,404100,320300,19550,18800,-8820,724400,-1900,0.002308399,0.002305739,0.005469183,40.56639625,18399.45123,18395.76629,0.008601825,0.792625588,724400,-1900,750,0.001839931
58:46.4,18425.77062,18429.33943,18423.0512,18425.15172,3390,18440.31591,51435,387200,311100,18000,17350,-44356,698300,-26100,0.000503677,0.00050355,0.005470527,38.63046552,18408.01806,18399.43946,0.008862684,0.803460744,698300,-26100,650,0.001829141
03:46.4,18471.0231,18474.00789,18451.42319,18464.41269,990,18466.98397,117457,405400,325700,17950,16350,66022,731100,32800,0.002130836,0.002128569,0.005461701,39.36087293,18426.81627,18407.56112,0.01252851,0.803404045,731100,32800,1600,0.001835474
08:46.4,18433.00916,18451.13163,18429.30165,18439.29529,2240,18438.36476,133210,404200,324000,17000,18200,15753,728200,-2900,-0.001360314,-0.00136124,0.005501377,39.05731371,18430.97594,18411.52789,0.012109852,0.801583375,728200,-2900,-1200,0.001845212
13:46.4,18386.15544,18411.74156,18374.01142,18399.82781,3510,18398.61365,125114,404200,309800,16200,18600,-8096,714000,-14200,-0.002140401,-0.002142695,0.005665225,40.93063921,18420.59323,18410.06538,0.008718824,0.766452251,714000,-14200,-2400,0.001839154
18:46.4,18384.80739,18389.81008,18378.48268,18379.4753,2330,18387.28661,88838,404700,320400,19400,16700,-36276,725100,11100,-0.001106125,-0.001106737,0.005711223,39.53167401,18406.88726,18406.24162,0.006786672,0.791697554,725100,11100,2700,0.001840825
23:46.4,18395.58585,18405.56829,18387.24668,18397.78784,2340,18400.41984,96535,405200,334000,17400,19800,7697,739200,14100,0.000996358,0.000995862,0.005720219,38.57176785,18403.85412,18405.1849,0.007023822,0.824284304,739200,14100,-2400,0.00183619
28:46.4,18394.86766,18404.19272,18386.05657,18399.46348,3880,18398.25009,106983,399700,312900,16650,18900,10448,712600,-26600,9.11E-05,9.11E-05,0.005668189,37.11208045,18402.39057,18404.46972,0.008207692,0.782837128,712600,-26600,-2250,0.001835531
33:46.4,18338.09391,18346.65121,18332.00983,18342.42173,3560,18348.51859,106278,398200,306200,16850,16250,-705,704400,-8200,-0.003100186,-0.003105001,0.005684941,39.27933507,18382.40096,18396.71372,0.008122241,0.768960321,704400,-8200,600,0.0018313
38:46.4,18335.826,18343.45873,18326.41898,18336.52235,3590,18344.0912,113619,396900,320300,19900,18450,7341,717200,12800,-0.000321625,-0.000321676,0.005555331,37.69079354,18367.10809,18389.1898,0.005406489,0.807004283,717200,12800,1450,0.00182454
43:46.4,18300.16629,18319.72638,18296.67621,18306.96189,3950,18312.11332,104061,400300,319500,19900,16050,-9558,719800,2600,-0.001612108,-0.001613409,0.005643728,37.84474665,18347.05936,18378.91131,0.004070534,0.798151386,719800,2600,3850,0.001835379
48:46.4,18318.74139,18332.8138,18309.60706,18323.15849,1300,18331.76815,92773,411200,318400,16700,17800,-11288,729600,9800,0.000884723,0.000884332,0.005641449,36.98811496,18339.0924,18371.94221,0.005576639,0.774319066,729600,9800,-1100,0.001837915
53:46.4,18329.00088,18339.94808,18306.83359,18317.65832,4230,18321.80598,102738,406900,321300,16050,19450,9965,728200,-1400,-0.000300176,-0.000300221,0.005511928,36.71142766,18331.94771,18365.15672,0.003004107,0.789628901,728200,-1400,-3400,0.001837273
58:46.4,18303.36153,18313.93249,18302.75341,18311.31577,2050,18311.71701,119975,391400,325100,18200,18950,17237,716500,-11700,-0.000346253,-0.000346313,0.005515015,35.15381916,18325.07039,18358.4266,0.002272528,0.830608074,716500,-11700,-750,0.001772695
03:46.4,18289.44162,18305.28777,18286.16708,18297.55565,3240,18305.66915,158325,400300,320600,17550,18200,38350,720900,4400,-0.000751454,-0.000751737,0.005470346,34.43916665,18315.89881,18350.81773,3.67E-05,0.800899326,720900,4400,-650,0.001767952
08:46.4,18260.58866,18265.64127,18242.41854,18253.61964,3320,18252.39616,90021,406400,315200,18900,18850,-68304,721600,700,-0.002401196,-0.002404083,0.005637041,35.91759097,18295.13909,18338.66797,-0.002594337,0.775590551,721600,700,50,0.001772955
13:46.4,18259.0545,18259.71058,18248.0063,18259.40085,4810,18256.8689,104524,408000,325800,16600,16100,14503,733800,12200,0.000316716,0.000316666,0.005214172,34.18806839,18283.22634,18328.75958,-0.0058437,0.798529412,733800,12200,500,0.00177309
18:46.4,18285.41609,18306.24894,18281.40629,18291.66357,2980,18301.66518,92734,398900,320700,18400,17100,-11790,719600,-14200,0.00176691,0.001765351,0.00518087,35.09235553,18286.03875,18324.12258,-0.006088546,0.803960892,719600,-14200,1300,0.001785224
23:46.4,18258.58204,18262.42273,18244.16509,18256.67115,1960,18258.41732,106151,404700,314400,19100,17050,13417,719100,-500,-0.001913025,-0.001914858,0.005256394,35.9785073,18276.24955,18315.69115,-0.007048406,0.776871757,719100,-500,2050,0.001760864
28:46.4,18272.57475,18287.66066,18262.84116,18282.37778,4840,18295.17006,119513,399200,317100,18900,16200,13362,716300,-2800,0.001408068,0.001407077,0.00496555,35.62215052,18278.29229,18311.52698,-0.008772954,0.794338677,716300,-2800,2700,0.001702476
33:46.4,18258.22935,18287.86301,18255.87362,18279.80941,560,18288.16289,95837,393600,325900,17100,19300,-23676,719500,3200,-0.000140483,-0.000140493,0.00492509,35.36266743,18278.798,18307.56228,-0.009698958,0.827997967,719500,3200,-2200,0.001679181
38:46.4,18236.70994,18236.72203,18217.98019,18229.54304,2060,18230.87103,59079,389100,328300,16250,18600,-36758,717400,-2100,-0.00274983,-0.002753618,0.005072881,37.25313521,18262.37968,18297.80988,-0.013138956,0.843741969,717400,-2100,-2350,0.001696352
43:46.4,18233.96469,18237.56974,18216.89663,18221.37373,2200,18227.67589,120571,395100,315800,19550,17550,61492,710900,-6500,-0.000448136,-0.000448236,0.005072881,36.06884792,18248.71103,18288.25536,-0.013140915,0.799291319,710900,-6500,2000,0.001667655
48:46.4,18205.85386,18217.33751,18194.71898,18208.6195,1180,18226.07272,102608,393500,318500,16450,17100,-17963,712000,1100,-0.00069996,-0.000700205,0.005047701,35.39641251,18235.34719,18278.30088,-0.01426822,0.809402795,712000,1100,-650,0.001621665
53:46.4,18190.92256,18202.84769,18177.96492,18197.48551,1430,18205.24277,93159,403700,322200,16100,18100,-9449,725900,13900,-0.000611469,-0.000611656,0.004834596,35.05771073,18222.72663,18268.19896,-0.016820465,0.798117414,725900,13900,-2000,0.001622061
58:46.4,18158.44774,18162.61182,18142.26917,18156.35165,4180,18163.15138,88694,402000,313100,19900,17850,-4465,715100,-10800,-0.002260414,-0.002262973,0.004788647,36.49761235,18200.60164,18254.21804,-0.016476518,0.778855721,715100,-10800,2050,0.001622557
03:46.4,18212.22333,18233.26378,18204.18913,18225.45688,4120,18225.85026,106224,401500,328800,19150,16650,17530,730300,15200,0.003806119,0.003798894,0.005309761,39.3843637,18208.88672,18250.6229,-0.010727715,0.818929016,730300,15200,2500,0.00167147
08:46.4,18213.36883,18228.64417,18194.24767,18201.17857,4250,18214.89073,86082,401300,315500,18650,17250,-20142,716800,-13500,-0.00133211,-0.001332998,0.005050869,39.02808792,18206.31734,18244.44236,-0.00875651,0.786194867,716800,-13500,1400,0.00167644
13:46.4,18194.44426,18208.07526,18191.66039,18200.7479,2350,18211.58428,88419,404800,327300,18000,19900,2337,732100,15300,-2.37E-05,-2.37E-05,0.005053074,37.41285847,18204.46086,18238.98055,-0.008435474,0.808547431,732100,15300,-1900,0.001673269
18:46.4,18200.46707,18210.26664,18193.63058,18194.9536,4410,18195.39631,75027,407400,318800,16850,18700,-13392,726200,-5900,-0.000318355,-0.000318406,0.004998452,35.92880181,18201.29177,18233.47718,-0.009715598,0.782523319,726200,-5900,-1850,0.001664737
23:46.4,18197.58267,18232.98535,18191.17976,18213.22693,2190,18227.14409,86352,402000,325900,17000,18150,11325,727900,1700,0.001004308,0.001003804,0.004819775,36.34857229,18205.27016,18230.9459,-0.011004045,0.810696517,727900,1700,-1150,0.001668906
28:46.4,18191.73392,18220.73058,18176.34056,18209.85757,2530,18214.39957,112617,399500,321300,16050,19050,26265,720800,-7100,-0.000184995,-0.000185012,0.004793762,36.92296165,18206.7993,18228.30986,-0.011684796,0.804255319,720800,-7100,-3000,0.001668577
33:46.4,18208.68286,18217.41191,18200.38947,18201.70296,910,18200.75439,72376,399000,323600,17900,18950,-40241,722600,1800,-0.000447813,-0.000447913,0.004557299,35.50149607,18205.10052,18224.984,-0.014227896,0.811027569,722600,1800,-1050,0.00165859
38:46.4,18229.56674,18241.89457,18199.92399,18224.55765,620,18224.93024,123041,395200,314700,17200,17100,50665,709900,-12700,0.001255635,0.001254847,0.004630295,35.96357343,18211.58623,18224.9307,-0.011645653,0.796305668,709900,-12700,100,0.001662334
43:46.4,18215.24846,18237.50619,18212.15773,18223.07726,2030,18231.5202,76420,394800,317600,19800,19000,-46621,712400,2500,-8.12E-05,-8.12E-05,0.004515624,35.20535072,18215.41657,18224.69902,-0.009606098,0.804457953,712400,2500,800,0.001654773
48:46.4,18199.70424,18203.46247,18193.01384,18196.1814,3230,18195.27068,102998,396800,322700,16550,17650,26578,719500,7100,-0.001475923,-0.001477013,0.004542147,34.83807013,18209.00485,18221.13432,-0.009972749,0.813256048,719500,7100,-1100,0.00166174
53:46.4,18192.37892,18194.32612,18191.28432,18191.96585,3470,18189.58389,109698,399700,320700,16350,17150,6700,720400,900,-0.000231673,-0.000231699,0.004474646,32.69942839,18203.32518,18217.48826,-0.011187323,0.802351764,720400,900,-800,0.001658429
58:46.4,18129.85241,18133.52188,18126.5109,18130.08255,1000,18131.32152,116492,392700,320600,16750,16500,6794,713300,-7100,-0.003401683,-0.003407482,0.004786108,35.03910851,18178.91097,18206.56255,-0.014640695,0.816399287,713300,-7100,250,0.00170885
